config,fusion_on,kalman_on,xai_adaptive,scenario,seed,MOTA,MOTP_IoU,IDF1,IDSW,FP,FN
fu0_ka0_xa0,False,False,False,multi_threat,1,0.4042553191489362,0.7434576478711721,0.6070175438596491,0,21,203
fu0_ka0_xa1,False,False,True,multi_threat,1,0.30053191489361697,0.7442041306438617,0.5751211631663974,0,65,198
fu0_ka1_xa0,False,True,False,multi_threat,1,0.48404255319148937,0.8976328574368033,0.6596491228070176,0,6,188
fu0_ka1_xa1,False,True,True,multi_threat,1,0.5771276595744681,0.8611358436552616,0.7431340872374798,0,13,146
fu1_ka0_xa0,True,False,False,multi_threat,1,0.16223404255319152,0.7253820823336798,0.5702592087312415,0,148,167
fu1_ka0_xa1,True,False,True,multi_threat,1,0.1436170212765957,0.7387597850482176,0.5648648648648649,0,155,167
fu1_ka1_xa0,True,True,False,multi_threat,1,0.7952127659574468,0.8187902051449666,0.8949522510231923,0,29,48
fu1_ka1_xa1,True,True,True,multi_threat,1,0.7925531914893618,0.816052463487009,0.8945945945945946,0,33,45
fu0_ka0_xa0,False,False,False,sensor_dropout,1,0.5870967741935484,0.7171385447568277,0.7697841726618705,0,16,48
fu0_ka0_xa1,False,False,True,sensor_dropout,1,0.6322580645161291,0.7135466011127858,0.8027681660899654,0,18,39
fu0_ka1_xa0,False,True,False,sensor_dropout,1,0.7806451612903226,0.8844589004246103,0.8776978417266187,0,1,33
fu0_ka1_xa1,False,True,True,sensor_dropout,1,0.8129032258064516,0.8836815200553962,0.8996539792387543,0,4,25
fu1_ka0_xa0,True,False,False,sensor_dropout,1,0.6451612903225806,0.7122569889342081,0.8148148148148148,0,21,34
fu1_ka0_xa1,True,False,True,sensor_dropout,1,0.6451612903225806,0.7115113718097463,0.8184818481848185,0,24,31
fu1_ka1_xa0,True,True,False,sensor_dropout,1,0.864516129032258,0.8783836901126415,0.9292929292929293,0,4,17
fu1_ka1_xa1,True,True,True,sensor_dropout,1,0.8774193548387097,0.8779121884171721,0.9372937293729373,0,6,13
fu0_ka0_xa0,False,False,False,low_snr,1,0.6527777777777778,0.7164805173300077,0.8120300751879699,0,14,36
fu0_ka0_xa1,False,False,True,low_snr,1,0.6805555555555556,0.714107410485391,0.8321167883211679,0,16,30
fu0_ka1_xa0,False,True,False,low_snr,1,0.8333333333333334,0.8868501843958271,0.9097744360902256,0,1,23
fu0_ka1_xa1,False,True,True,low_snr,1,0.875,0.8860436823916288,0.9343065693430657,0,2,16
fu1_ka0_xa0,True,False,False,low_snr,1,0.75,0.7160025216419302,0.8714285714285714,0,14,22
fu1_ka0_xa1,True,False,True,low_snr,1,0.75,0.714750942559245,0.8732394366197183,0,16,20
fu1_ka1_xa0,True,True,False,low_snr,1,0.9444444444444444,0.8872431366235265,0.9714285714285714,0,0,8
fu1_ka1_xa1,True,True,True,low_snr,1,0.9305555555555556,0.8869521510958781,0.9647887323943662,0,3,7
fu0_ka0_xa0,False,False,False,single_threat,2,-0.6140350877192982,0.7013768595153418,0.1320754716981132,0,42,50
fu0_ka0_xa1,False,False,True,single_threat,2,-0.631578947368421,0.7015479119881817,0.1308411214953271,0,43,50
fu0_ka1_xa0,False,True,False,single_threat,2,0.543859649122807,0.7013191450371838,0.7547169811320755,0,9,17
fu0_ka1_xa1,False,True,True,single_threat,2,0.5263157894736843,0.7018346639998153,0.7476635514018691,0,10,17
fu1_ka0_xa0,True,False,False,single_threat,2,-0.6666666666666667,0.6856083646373181,0.14414414414414414,0,46,49
fu1_ka0_xa1,True,False,True,single_threat,2,-0.6842105263157894,0.6858452799520125,0.14285714285714285,0,47,49
fu1_ka1_xa0,True,True,False,single_threat,2,0.5964912280701755,0.6994695282876777,0.7927927927927928,0,10,13
fu1_ka1_xa1,True,True,True,single_threat,2,0.6140350877192983,0.6966622852905742,0.8035714285714286,0,10,12
fu0_ka0_xa0,False,False,False,multi_threat,2,-0.4180327868852458,0.6481854699601725,0.22767857142857142,0,153,193
