tracker,scenario,seed,MOTA,MOTP_IoU,IDF1,IDSW,FP,FN
Celik-Kubbe,multi_threat,3,0.9101123595505618,0.9486627975602436,0.9550561797752809,0,4,4
ByteTrack,multi_threat,3,0.7078651685393258,0.8647464654669401,0.8542713567839196,1,23,2
IMM-Kalman,multi_threat,3,0.8202247191011236,0.8593860308178316,0.900523560209424,1,14,1
DeepSORT,multi_threat,3,0.7303370786516854,0.8685680560500496,0.32989690721649484,4,18,2
Celik-Kubbe,sensor_dropout,3,,,,0,0,0
ByteTrack,sensor_dropout,3,,,,0,0,0
IMM-Kalman,sensor_dropout,3,,,,0,0,0
DeepSORT,sensor_dropout,3,,,,0,0,0
Celik-Kubbe,low_snr,3,,,,0,0,0
ByteTrack,low_snr,3,,,,0,0,0
IMM-Kalman,low_snr,3,,,,0,0,0
DeepSORT,low_snr,3,,,,0,0,0
Celik-Kubbe,single_threat,4,0.946236559139785,0.9066657102674287,0.9723756906077348,0,0,5
ByteTrack,single_threat,4,0.967741935483871,0.8192251355636166,0.9841269841269841,0,3,0
IMM-Kalman,single_threat,4,0.946236559139785,0.7675901522692878,0.9735449735449735,0,4,1
DeepSORT,single_threat,4,0.7526881720430108,0.7749148515147251,0.32160804020100503,4,16,3
Celik-Kubbe,multi_threat,4,0.6910112359550562,0.7404898082454869,0.8414985590778098,0,69,96
ByteTrack,multi_threat,4,-2.5318352059925093,0.7256307421060719,0.08985641500694766,79,1449,358
IMM-Kalman,multi_threat,4,-1.3483146067415732,0.6999739592429541,0.126232741617357,75,816,363
DeepSORT,multi_threat,4,-0.2602996254681649,0.7694505987294793,0.07971864009378664,6,226,441
Celik-Kubbe,sensor_dropout,4,0.5130208333333333,0.7477638187915123,0.7317073170731707,0,58,129
ByteTrack,sensor_dropout,4,-1.8203125,0.7910317614378736,0.1462663587374904,26,794,263
IMM-Kalman,sensor_dropout,4,-0.9375,0.7486587637001723,0.19791666666666666,26,455,263
DeepSORT,sensor_dropout,4,-0.1640625,0.7851165465762859,0.10543130990415335,7,149,291
Celik-Kubbe,low_snr,4,0.6282051282051282,0.7878505621379744,0.8096280087527352,0,38,49
ByteTrack,low_snr,4,-1.7307692307692308,0.779661234222039,0.22143698468786807,22,499,118
IMM-Kalman,low_snr,4,-0.7051282051282051,0.7460093703813717,0.30642504118616143,22,258,119
DeepSORT,low_snr,4,0.09401709401709402,0.7844672908346311,0.17054263565891473,5,63,144
