config,fusion_on,kalman_on,xai_adaptive,scenario,MOTA_mean,MOTA_std,MOTP_IoU_mean,MOTP_IoU_std,IDF1_mean,IDF1_std,IDSW_mean,IDSW_std,FP_mean,FP_std,FN_mean,FN_std
fu0_ka1_xa0,False,True,False,sensor_dropout,0.48930919229400405,0.22697063371288678,0.7905722108673592,0.07588755566317187,0.672423996154367,0.18161928304297098,0.0,0.0,13.2,14.237275020171522,104.4,122.31230518635482
fu0_ka1_xa0,False,True,False,single_threat,0.6496208262591963,0.21788588596196215,0.8542820065541009,0.10296359857811267,0.7847735373275991,0.1611158316667115,0.0,0.0,2.2,3.8340579025361627,29.2,35.03855019831728
fu0_ka1_xa1,False,True,True,low_snr,0.6332151787840643,0.16251470852897842,0.7983072669760625,0.07638436864552123,0.7987030576841841,0.09197302487525152,0.0,0.0,13.0,14.866068747318506,37.0,37.5632799419859
fu0_ka1_xa1,False,True,True,multi_threat,0.6133633597568446,0.17418119941319984,0.819680269467014,0.08699164978728287,0.7696123949844733,0.12143434218468976,0.0,0.0,22.8,16.300306745579974,121.6,87.91075019586626
fu0_ka1_xa1,False,True,True,sensor_dropout,0.527821828562302,0.20126542582855012,0.7890213964982372,0.0756468019349343,0.7200886844996207,0.13551788740603926,0.0,0.0,19.6,22.165288177689007,86.4,100.0389923979645
fu0_ka1_xa1,False,True,True,single_threat,0.6960278720996038,0.1922193801292988,0.8556504164369124,0.10390555255955691,0.8264536241769888,0.1180691942069303,0.0,0.0,3.4,3.8470768123342687,22.4,25.83215051055564
fu1_ka0_xa0,True,False,False,low_snr,0.08572595704948643,0.5999832033767678,0.7273062366278857,0.04012438442134822,0.5315137281413714,0.3082471222387552,0.0,0.0,51.0,47.853944456021594,57.2,51.38774172893765
fu1_ka0_xa0,True,False,False,multi_threat,0.047568001239770855,0.5382510554538401,0.7330703899863982,0.07392627962198553,0.5124199015291933,0.2763269951314802,0.0,0.0,173.4,124.60457455486937,188.0,133.90855088454956
fu1_ka0_xa0,True,False,False,sensor_dropout,-0.07897443200879237,0.5422306786974449,0.7221376736258791,0.03605133874213499,0.4184213890394015,0.28530189125573147,0.0,0.0,86.6,91.2759552127503,121.6,130.2470729037701
fu1_ka0_xa0,True,False,False,single_threat,0.4849731182795699,0.7726167753191783,0.7297739280469921,0.03968469893577271,0.7355300362768291,0.3967694208624214,0.0,0.0,12.6,19.51409746824075,16.8,19.74082065163452
